Location Code	Real Property Asset Name	Installation Name	Owned or Leased	GSA Region	Street Address	City	State	Zip Code	Latitude	Longitude	Building Rentable Square Feet	Available Square Feet	Construction Date	Congressional District	Congressional District Representative Name	Building Status	Real Property Asset Type
AK0038	POKER CREEK LAND PORT OF ENTRY	NA	F	10	TAYLOR HIGHWAY	TOK	AK	99780	64.0856385	-141.0015280	"1,457.23"	0.00	2000	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0040	ALCAN LAND LEASE	ALCAN LPOE	F	10	MILEPOST 1221.8 ALASKA HWY	TOK	AK	99780	62.6216705	-141.0102489	"3,500.00"	0.00	1972	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0506	ALCAN LAND PORT OF ENTRY STATION BUILDING	ALCAN LPOE	F	10	MILEPOST 1221.8 ALASKA HWY	TOK	AK	99780	62.6205910	-141.0078733	"6,297.56"	0.00	1971	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0507	ALCAN SERVICE BUILDING	ALCAN LPOE	F	10	MILEPOST 1221.8 ALASKA HWY	TOK	AK	99780	62.6208470	-141.0074622	"6,723.77"	0.00	1971	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0508	ALCAN TRI-PLEX	ALCAN LPOE	F	10	MILEPOST 1221.8 ALASKA HWY	TOK	AK	99780	62.6212762	-141.0078481	"10,220.83"	0.00	1971	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0513	ALCAN FOUR-PLEX	ALCAN LPOE	F	10	MILEPOST 1221.8 ALASKA HWY	TOK	AK	99780	62.6216820	-141.0083691	"8,700.43"	"2,555.83"	1972	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0514	PETERSBURG FEDERAL BUILDING	NA	F	10	12 N NORDIC DR	PETERSBURG	AK	99833	56.8112422	-132.9573982	"10,704.06"	"10,704.06"	1972	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0521	DALTON CACHE LAND PORT OF ENTRY	DALTON CACHE LPOE	F	10	MILE 42 HAINES HIGHWAY	HAINES	AK	99827	59.4502251	-136.3615598	"8,645.48"	0.00	1979	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0523	DALTON CACHE RESIDENCE #2	DALTON CACHE LPOE	F	10	MILE 42 HAINES HIGHWAY	HAINES	AK	99827	59.4498427	-136.3618501	"1,915.23"	"1,915.23"	1979	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0525	DALTON CACHE STORAGE	DALTON CACHE LPOE	F	10	MILE 42 HAINES HIGHWAY	HAINES	AK	99827	59.4499053	-136.3612717	299.75	299.75	1979	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK0526	SKAGWAY LAND PORT OF ENTRY	NA	F	10	KLONDIKE HWY	SKAGWAY	AK	99840	59.5273622	-135.2295646	"6,032.98"	0.00	1994	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3139	TROUTTE CENTER	NA	L	10	329 HARBOR DR	SITKA	AK	99835	57.0502849	-135.3336440	951.00	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3166	PETERSON TOWER	NA	L	10	510 L ST	ANCHORAGE	AK	99501	61.2171472	-149.9043195	"15,741.00"	"10,217.61"		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3177	TUDOR BUSINESS CNTER	NA	L	10	1011 E TUDOR RD	ANCHORAGE	AK	99503	61.1821109	-149.8631112	"89,049.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3180	MICHAEL BUILDING	NA	L	10	620 E 10TH AVE	ANCHORAGE	AK	99501	61.2123710	-149.8723144	"36,538.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3219	RHINE BUILDING	NA	L	10	2770 SHERWOOD LN	JUNEAU	AK	99801	58.3716941	-134.6172235	"9,433.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3227	ELIZABETH PERATROVICH BUILDING	NA	L	10	15 12TH ST	PETERSBURG	AK	99833	56.8108518	-132.9427556	770.00	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3228	K & R BLDG	NA	L	10	204 SIGINAKA WAY	SITKA	AK	99835	57.0569120	-135.3482243	"1,782.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3237	VECO ALASKA BUILDING	NA	L	10	949 E 36TH AVE	ANCHORAGE	AK	99508	61.1885652	-149.8623691	"23,053.00"	"3,152.00"		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3239	ALASKA PACIFIC UNIV.GRACE HALL	NA	L	10	4230 UNIVERSITY DR	ANCHORAGE	AK	99508	61.1885694	-149.8022704	"28,436.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3244	"COURTHOUSE SQUARE - FAIRBANKS, AK"	NA	L	10	250 CUSHMAN ST	FAIRBANKS	AK	99701	64.8429976	-147.7216072	"4,108.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3251	5100 CORDOVA BLDG	NA	L	10	5100 CORDOVA ST	ANCHORAGE	AK	99503	61.1743829	-149.8793121	"4,887.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3256	TRI-M WAREHOUSE	NA	L	10	606 WEST SECOND AVENUE	NOME	AK	99762	64.5006448	-165.4151252	"3,800.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3263	MEPS FACILITY	NA	L	10	1717 C ST	ANCHORAGE	AK	99501	61.2044527	-149.8864230	"19,665.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3276	INS GARAGE	NA	L	10	1040 GAMBELL ST	ANCHORAGE	AK	99501	61.2119195	-149.8715173	"6,857.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3279	JUNEAU FLITE CENTER	NA	L	10	1945 ALEX HOLDEN WAY	JUNEAU	AK	99801	58.3604730	-134.5876110	"4,650.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3282	"AIRPORT BUSINESS CENTER - UNALASKA, AK"	NA	L	10	2387 AIRPORT BEACH RD	UNALASKA	AK	99685	53.8940597	-166.5408223	"10,377.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3283	FEMA DRSF (DISASTER RESPONSE FACILITY)	NA	L	10	350 E INTERNATIONAL AIRPORT RD	ANCHORAGE	AK	99518	61.1735059	-149.8768281	"7,200.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3303	BLOMFIELD ADMIN BUILDING	NA	L	10	101 E 6TH AVE	ANCHORAGE	AK	99501	61.2168550	-149.8821563	"41,141.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3306	NPS HANGAR	NA	L	10	"LOT 2, BLOCK 4"	YAKUTAT	AK	99689	59.8096909	-139.5487273	"4,700.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3308	SEAVIEW PLAZA	NA	L	10	302 RAILWAY AVE	SEWARD	AK	99664	60.1004965	-149.4416332	922.00	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3317	"ATRIUM BUILDING - PALMER, AK"	NA	L	10	800 E PALMER-WASILLA HWY	PALMER	AK	99645	61.5991580	-149.1289587	"19,716.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3331	KODIAK ISLAND	NA	L	10	301 RESEARCH CT	KODIAK	AK	99615	57.7815840	-152.3960910	"26,401.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3332	BALLARD BUILDING	NA	L	10	43655 KALIFORNSKY BEACH RD	SOLDOTNA	AK	99669	60.4892340	-151.1545905	"5,010.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3335	EKLUTNA BUILDING	NA	L	10	100 E 5TH AVE	ANCHORAGE	AK	99501	61.2172735	-149.8824147	"23,992.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3338	ATTORNEY'S PLAZA	NA	L	10	590 UNIVERSITY AVE	FAIRBANKS	AK	99709	64.8467393	-147.8135117	"5,029.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3341	FRONTIER BUILDING	NA	L	10	3601 C ST	ANCHORAGE	AK	99503	61.1876136	-149.8840309	"42,604.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3344	BLOMFIELD TUDOR BUILDING	NA	L	10	1630 E TUDOR RD	ANCHORAGE	AK	99507	61.1796273	-149.8507770	"27,763.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3360	PROSPECTUS WAREHOUSE	NA	L	10	319 E SHIP CREEK AVE	ANCHORAGE	AK	99501	61.2226400	-149.8785664	"10,000.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3365	NOAA OBSERVER MAKUSHIN DUPLEX	NA	L	10	"63 KASHEGA DRIVE, UNIT N-4,"	UNALASKA	AK	99685	53.8876627	-166.5417714	"1,051.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3371	GIBERTONI BUILDING	NA	L	10	3400 SHELL ST	FAIRBANKS	AK	99701	64.8142938	-147.7724312	"7,200.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3373	U.S. PARK SERVICE BUILDING	NA	L	10	240 W 5TH AVE	ANCHORAGE	AK	99501	61.2172234	-149.8862209	"75,286.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3375	4000 WEST 50TH BLDG 2ND FLOOR	NA	L	10	4000 W 50TH AVE	ANCHORAGE	AK	99502	61.1753387	-149.9596773	"13,038.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3377	CLEVELAND PROPERTIES	NA	L	10	970 DEERE ST	FAIRBANKS	AK	99709	64.8538622	-147.7798687	0.00	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3378	WESTFLIGHT BUILDING	NA	L	10	1621 TONGASS AVE	KETCHIKAN	AK	99901	55.3470283	-131.6640184	"2,875.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3379	TED STEVENS INT'L AIRPORT	NA	L	10	4600 POSTMARK DR	ANCHORAGE	AK	99502	61.1784990	-149.9848425	"4,947.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3380	CORDOVA OLD AIRLINE TERMINAL	NA	L	10	CORDOVA AIRPORT	OLD VALDEZ	AK	99574	60.5441402	-145.7248311	"1,064.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3381	WINGSPAN	NA	L	10	1420 AIRPORT WAY	KODIAK	AK	99615	57.7549440	-152.5154715	950.00	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3383	ASRC PROPERTIES LLC	NA	L	10	1078 KIOGAK STREET	UTQIAGVIK	AK	99723	71.2924332	-156.7880011	800.00	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3385	"BAKER BUILDING - KOTZEBUE, AK"	NA	L	10	241 5TH AVENUE	KOTZEBUE	AK	99752	66.8930901	-162.5977397	842.00	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3386	SITNASUAK BUILDING	NA	L	10	214 FRONT ST	NOME	AK	99762	64.4979966	-165.4081537	827.00	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3387	JUNEAU INTERNATIONAL AIRPORT	NA	L	10	1873 SHELL SIMMONS DR	JUNEAU	AK	99801	58.3616520	-134.5851720	589.00	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3389	KETCHIKAN AIRPORT - HANGER #1	NA	L	10	LOT 4 BLK 400 US SURVEY 3535	KETCHIKAN	AK	99901	55.3559123	-131.7080884	"2,196.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3391	YAKUTAT AIRPORT BUSINESS PLAZA	NA	L	10	915 AIRPORT ACCESS RD	YAKUTAT	AK	99689	59.5075928	-139.6722649	0.00	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3395	SADLER BUSINESS PLAZA	NA	L	10	5904 OLD AIRPORT WAY	FAIRBANKS	AK	99709	64.8267592	-147.8507088	"8,175.70"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3406	PENAIR TERMINAL	NA	L	10	AIRPORT RD	DILLINGHAM	AK	99576	59.0428391	-158.5133538	530.00	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3408	PACIFIC WING INC	NA	L	10	1500 HAUGEN DR	PETERSBURG	AK	99833	56.8064192	-132.9333108	"1,110.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3410	PAWS RENTAL BLDG	NA	L	10	221 FRONT ST	WRANGELL	AK	99929	56.4714368	-132.3838586	"1,200.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3414	3000 C STREET	NA	L	10	3000 C ST	ANCHORAGE	AK	99503	61.1930468	-149.8874212	"14,805.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3416	420 L STREET BUILDING	NA	L	10	420 L ST	ANCHORAGE	AK	99501	61.2180022	-149.9043865	"5,521.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3417	HC 63	NA	L	10	MILE 1225 ALASKA HIGHWAY	TOK	AK	99780	63.8008636	-142.3163545	0.00	0.00		0200	MARY SATTLER PELTOLA	Active	LAND
AK3418	8 BUILDING SITES	NA	L	10	MILEPOST 1.5 KLONDIKE HWY	SKAGWAY	AK	99840	59.6061840	-135.1748740	0.00	0.00		0200	MARY SATTLER PELTOLA	Active	LAND
AK3428	4000 W 50TH AVE BLDG B	NA	L	10	4000 W 50TH AVE	ANCHORAGE	AK	99502	61.1753637	-149.9614726	"1,317.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3429	CENTERPOINT FINANCIAL CENTER	NA	L	10	3801 CENTERPOINT DR	ANCHORAGE	AK	99503	61.1866356	-149.8879080	"33,827.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3431	NEW APHIS BUILDING	NA	L	10	9001 E FRONTAGE RD	PALMER	AK	99645	61.6000132	-149.2235404	"6,225.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3442	LOT 4B SILVERADO SUBDIVISION	NA	L	10	5761 SILVERADO WAY	ANCHORAGE	AK	99518	61.1685741	-149.8876649	"5,966.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3450	"NATIONAL PARK SERVICE BLDG - FAIRBANKS, AK"	NA	L	10	4175 GEIST RD	FAIRBANKS	AK	99709	64.8486048	-147.8359067	"20,809.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3457	TUNDRA TYKES BUILDING	NA	L	10	750 D ST	ANCHORAGE	AK	99501	61.2148298	-149.8900192	"9,425.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3458	SHEE ATIKA BUILDING	NA	L	10	601 ALICE LOOP	SITKA	AK	99835	57.0472970	-135.3493522	"1,900.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3461	FAIRBANKS INTERNATIONAL AIRPORT - NORTH STAR BOROUGH	NA	L	10	6450 AIRPORT WAY	FAIRBANKS	AK	99709	64.8176123	-147.8676885	"1,155.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3464	KING SALMON AIRPORT TERMINAL	NA	L	10	KING SALMON AIRPORT	KING SALMON	AK	99613	58.6827200	-156.6693700	"1,150.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3466	GLEN OLDS HALL	NA	L	10	4210 UNIVERSITY DR	ANCHORAGE	AK	99508	61.1878789	-149.8041103	"45,273.00"	0.00	2007	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3468	1901 AIRPORT WAY	NA	L	10	1901 AIRPORT WAY	FAIRBANKS	AK	99701	64.8349093	-147.7583250	"3,433.00"	0.00	2007	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3469	MORRIS THOMPSON CULTURAL & VIS	NA	L	10	101 DUNKEL ST	FAIRBANKS	AK	99701	64.8459450	-147.7128600	"14,554.00"	0.00	2008	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3472	GARAGETOWN SOUTH ANCHORAGE	NA	L	10	8479 TOLOFF ST	ANCHORAGE	AK	99507	61.1441240	-149.8421963	"2,400.00"	0.00	2008	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3473	NORTHERN LIGHTS	NA	L	10	188 W NORTHERN LIGHTS BLVD	ANCHORAGE	AK	99503	61.1947878	-149.8859649	"25,200.00"	0.00	2008	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3475	PIER 2 WAREHOUSE	NA	L	10	727 SHELIKOF ST	KODIAK	AK	99615	57.7841455	-152.4267388	"5,400.00"	0.00	2000	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3481	ALASKA RAILROAD HISTORIC FREIGHT SHED	NA	L	10	161 E 1ST AVE	ANCHORAGE	AK	99501	61.2216844	-149.8830081	"27,770.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3484	POST OFFICE CT. JAIL	NA	L	10	113 FRONT ST	NOME	AK	99762	64.4980326	-165.4091948	"10,865.00"	0.00	1958	0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3487	MINDORO BUSINESS PARK	NA	L	10	651 E 100TH AVE	ANCHORAGE	AK	99515	61.1307826	-149.8696954	"4,800.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3492	10008 CRAZY HORSE DR	NA	L	10	10008 CRAZY HORSE DR	JUNEAU	AK	99801	58.3666383	-134.6073666	"1,595.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3493	FRAZIERS WAY BUSINESS PARK	NA	L	10	1508 BOGARD RD	WASILLA	AK	99654	61.5884669	-149.4121614	"4,200.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3494	115 HARVEST WAY BUILDING	NA	L	10	115 HARVEST WAY	SITKA	AK	99835	57.0494318	-135.3056857	"5,506.50"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3496	AURORA HOTEL	NA	L	10	123 LAKE COLLEEN ROAD	PRUDHOE BAY	AK	99734	70.2119556	-148.4376616	"1,000.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3498	YUTE COMMUTER TERMINAL	NA	L	10	CHIEF EDDY HOFFMAN HWY	BETHEL	AK	99559	60.7821896	-161.8409069	"1,051.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3499	UNIVERSITY OF ALASKA - FAIRBANKS	NA	L	10	2160 KOYUKUK DR	FAIRBANKS	AK	99775	64.8591120	-147.8508795	"6,190.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3501	NOAA SITKA WAREHOUSE	NA	L	10	1517 SAWMILL CREEK RD	SITKA	AK	99835	57.0477637	-135.2993384	258.00	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3502	LAKE HOOD HANGARS	NA	L	10	4480 AIRCRAFT DR	ANCHORAGE	AK	99502	61.1795610	-149.9794560	"4,009.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3503	ENGINEERING FACILITY	NA	L	10	1764 TANANA LOOP	FAIRBANKS	AK	99775	64.8556740	-147.8173815	756.00	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3507	YAKUTAT HANGAR	NA	L	10	985 ENDICOTT WAY	YAKUTAT	AK	99689	59.5090265	-139.6712604	"1,225.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AK3601	CORPORATE EXPRESS BUILDING	NA	L	10	4831 OLD SEWARD HWY	ANCHORAGE	AK	99503	61.1764290	-149.8675275	"14,400.00"	0.00		0200	MARY SATTLER PELTOLA	Active	BUILDING
AL0003	FRANK JOHNSON ANNEX	GSA/DMS DEPOT	F	04	1 CHURCH ST	MONTGOMERY	AL	36104	32.3759055	-86.3089230	"2,62,060.69"	"12,873.20"	2001	0102	BARRY MOORE	Active	BUILDING
AL0005	MONTGOMERY BUS STATION	NA	F	04	210 S COURT ST	MONTGOMERY	AL	36104	32.3749027	-86.3089766	"3,310.17"	0.00	1951	0102	BARRY MOORE	Active	BUILDING
AL0007	MOBILE USCT	NA	F	04	155 SAINT JOSEPH ST	MOBILE	AL	36602	30.6944904	-88.0430034	"1,24,370.76"	0.00	2018	0101	JERRY L. CARL	Active	BUILDING
AL0008	"US COURTHOUSE, ANNISTON, AL"	NA	F	04	1100 GURNEE AVE	ANNISTON	AL	36201	33.6584910	-85.8314063	"54,011.64"	0.00	2022	0103	MIKE ROGERS	Active	BUILDING
AL0010	FEDERAL BUILDING-COURTHOUSE	NA	F	04	2005 UNIVERSITY BLVD	TUSCALOOSA	AL	35401	33.2101900	-87.5631610	"1,04,049.09"	"1,315.37"	2011	0107	TERRI A. SEWELL	Active	BUILDING
AL0011	ROBERT S. VANCE FB-CT	NA	F	04	1800 5TH AVE N	BIRMINGHAM	AL	35203	33.5173800	-86.8104810	"1,55,354.02"	"16,543.44"	1921	0107	TERRI A. SEWELL	Active	BUILDING
AL0019	"FB-CT, DOTHAN, AL"	NA	F	04	100 W TROY ST	DOTHAN	AL	36303	31.2254000	-85.3926110	"17,898.69"	447.82	1911	0102	BARRY MOORE	Active	BUILDING
AL0026	"U S POST OFFICE, FLORENCE, AL"	NA	L	04	210 N SEMINARY ST	FLORENCE	AL	35630	34.8017528	-87.6751809	"7,594.00"	0.00	1913	0105	DALE W. STRONG	Active	BUILDING
AL0034	"PO-CT, HUNTSVILLE, AL"	NA	F	04	101 HOLMES AVE NE	HUNTSVILLE	AL	35801	34.7324700	-86.5870410	"37,247.63"	516.02	1936	0105	DALE W. STRONG	Active	BUILDING
AL0039	JOHN A CAMPBELL USCT	FEDERAL BLDG	F	04	113 ST JOSEPH ST	MOBILE	AL	36602	30.6936968	-88.0426349	"1,04,664.90"	"2,371.39"	1934	0101	JERRY L. CARL	Active	BUILDING
AL0043	"F.M.JOHNSON,JR. FBCT"	GSA/DMS DEPOT	F	04	15 LEE ST	MONTGOMERY	AL	36104	32.3752458	-86.3090427	"1,17,949.41"	"19,111.05"	1933	0102	BARRY MOORE	Active	BUILDING
AL0046	G. W. ANDREWS FB-CT	NA	F	04	701 AVENUE A	OPELIKA	AL	36801	32.6478600	-85.3772510	"19,423.88"	"2,702.58"	1918	0103	MIKE ROGERS	Active	BUILDING
AL0055	FB CT	NA	F	04	908 ALABAMA AVE	SELMA	AL	36701	32.4069165	-87.0217802	"20,621.95"	"9,052.60"	1909	0107	TERRI A. SEWELL	Active	BUILDING
AL0073	SEYBOURNE H. LYNNE USCT	NA	L	04	400 WELL ST NE	DECATUR	AL	35601	34.6066467	-86.9823845	"20,710.00"	0.00	1965	0105	DALE W. STRONG	Active	BUILDING
AL0076	"FEDERAL BUILDING, MOBILE, AL"	FEDERAL BLDG	F	04	109 SAINT JOSEPH ST	MOBILE	AL	36602	30.6936269	-88.0425997	"1,96,573.93"	0.00	1974	0101	JERRY L. CARL	Active	BUILDING
AL0077	COMBINED PARKING FAC	FEDERAL BLDG	F	04	167 ST LOUIS ST	MOBILE	AL	36602	30.6941989	-88.0432696	"3,584.46"	810.18	1974	0101	JERRY L. CARL	Active	STRUCTURE
AL0081	HUGO L BLACK USCT	NA	F	04	1729 5TH AVE N	BIRMINGHAM	AL	35203	33.5162268	-86.8119442	"1,60,343.10"	"1,282.99"	1987	0107	TERRI A. SEWELL	Active	BUILDING
AL1040	LAKESHORE CROSSINGS	NA	L	04	1030 LONDON DR	BIRMINGHAM	AL	35211	33.4412000	-86.8640510	"20,554.00"	0.00		0107	TERRI A. SEWELL	Active	BUILDING
AL1119	"USCIS BUILDING, MONTGOMERY, AL"	NA	L	04	3381 ATLANTA HWY	MONTGOMERY	AL	36109	32.3848372	-86.2601570	"21,420.00"	0.00		0102	BARRY MOORE	Active	BUILDING
AL1133	ETOWAH COUNTY BUILDING	NA	L	04	801 FORREST AVE	GADSDEN	AL	35901	34.0161100	-86.0118510	0.00	0.00		0104	ROBERT B. ADERHOLT	Active	BUILDING
AL1134	BROAD STREET	NA	L	04	634 BROAD ST	GADSDEN	AL	35901	34.0146490	-86.0069640	"1,450.00"	0.00		0104	ROBERT B. ADERHOLT	Active	BUILDING
AL1174	SSA AUBURN	NA	L	04	2454 E UNIVERSITY DR	AUBURN	AL	36830	32.6292800	-85.4642610	"7,823.00"	0.00		0103	MIKE ROGERS	Active	BUILDING
